Vertice	Closeness
808	4,8382
923	4,5278
744	4,4206
849	4,4115
746	4,4034
784	4,2801
944	4,2305
757	4,2073
798	4,1685
731	4,1628
788	4,1092
670	4,0738
732	4,0698
684	4,0647
637	4,0586
846	4,0202
648	4,0071
772	4,0061
675	4,0000
653	3,9838
691	3,9697
633	3,9636
703	3,9312
938	3,9242
660	3,9201
639	3,9171
704	3,8959
790	3,8837
646	3,8706
658	3,8686
202	3,8645
683	3,8606
659	3,8605
995	3,8554
617	3,8534
567	3,8524
580	3,8413
711	3,8413
628	3,8301
631	3,8251
636	3,8150
479	3,7806
836	3,7685
532	3,6876
402	3,6663
705	3,6515
634	3,6491
759	3,6340
630	3,6299
673	3,6279
852	3,5814
383	3,5733
416	3,5592
945	3,5551
228	3,5369
396	3,5197
835	3,5187
791	3,5116
989	3,5076
817	3,4914
632	3,4884
735	3,4863
669	3,4823
1003	3,4752
319	3,4692
737	3,4651
891	3,4530
943	3,4277
773	3,4247
119	3,4237
879	3,4196
522	3,4186
432	3,4166
629	3,4146
920	3,4105
843	3,4065
463	3,4065
227	3,4055
858	3,4055
825	3,4004
736	3,4004
365	3,3903
991	3,3782
755	3,3771
912	3,3721
620	3,3640
689	3,3630
721	3,3620
982	3,3569
901	3,3559
875	3,3529
501	3,3478
999	3,3296
941	3,3165
955	3,3145
898	3,3074
276	3,3033
130	3,3003
942	3,2872
824	3,2831
839	3,2831
742	3,2801
978	3,2649
111	3,2649
969	3,2609
844	3,2599
415	3,2548
650	3,2528
992	3,2508
750	3,2386
534	3,2376
778	3,2336
838	3,2336
645	3,2255
866	3,2255
799	3,2245
672	3,2235
713	3,2113
889	3,2073
706	3,2073
614	3,2030
741	3,2022
837	3,2002
939	3,1982
906	3,1891
524	3,1840
766	3,1800
476	3,1780
758	3,1739
863	3,1717
793	3,1668
740	3,1668
517	3,1577
664	3,1557
692	3,1527
743	3,1456
800	3,1416
821	3,1375
829	3,1304
935	3,1274
855	3,1264
725	3,1223
694	3,1223
958	3,1213
348	3,1193
618	3,1163
895	3,1062
727	3,1052
841	3,1011
507	3,1011
456	3,0961
600	3,0940
624	3,0839
937	3,0768
954	3,0718
869	3,0677
649	3,0627
996	3,0597
414	3,0536
717	3,0506
539	3,0475
970	3,0475
623	3,0465
723	3,0425
596	3,0364
745	3,0354
733	3,0243
514	3,0243
219	3,0162
951	3,0142
555	3,0101
598	3,0101
364	3,0091
540	3,0030
919	3,0030
553	3,0010
802	2,9869
760	2,9848
913	2,9818
613	2,9798
947	2,9788
753	2,9778
887	2,9737
974	2,9727
797	2,9676
559	2,9676
556	2,9666
806	2,9616
786	2,9575
488	2,9575
558	2,9575
902	2,9565
512	2,9565
763	2,9525
909	2,9494
697	2,9494
716	2,9474
710	2,9434
403	2,9424
503	2,9414
585	2,9403
789	2,9343
538	2,9323
554	2,9272
924	2,9242
956	2,9242
609	2,9232
715	2,9211
652	2,9211
816	2,9181
471	2,9120
109	2,9029
877	2,9019
814	2,9009
643	2,8989
927	2,8989
399	2,8969
811	2,8969
714	2,8959
1	2,8908
765	2,8908
112	2,8898
990	2,8888
907	2,8878
521	2,8878
627	2,8857
270	2,8807
565	2,8807
783	2,8807
818	2,8787
454	2,8736
1000	2,8726
696	2,8706
410	2,8706
647	2,8686
699	2,8686
144	2,8665
654	2,8655
497	2,8645
330	2,8645
926	2,8645
885	2,8635
952	2,8635
378	2,8605
878	2,8595
43	2,8564
313	2,8554
930	2,8554
67	2,8544
369	2,8544
950	2,8534
678	2,8443
751	2,8443
110	2,8443
822	2,8443
616	2,8372
392	2,8362
354	2,8332
530	2,8332
728	2,8322
572	2,8291
435	2,8291
535	2,8291
663	2,8271
577	2,8261
279	2,8190
851	2,8190
591	2,8190
477	2,8190
582	2,8180
905	2,8170
385	2,8160
523	2,8140
840	2,8140
597	2,8099
341	2,8069
979	2,8059
391	2,8038
487	2,8038
257	2,8028
642	2,8018
640	2,7856
700	2,7846
542	2,7836
156	2,7836
500	2,7816
768	2,7765
72	2,7685
