Vertice	Clustering
567	11,0000
689	8,0000
415	5,3333
758	5,0000
846	5,0000
736	5,0000
788	3,0000
923	3,0000
721	3,0000
991	2,3333
620	2,0000
634	2,0000
836	2,0000
705	2,0000
852	2,0000
945	2,0000
791	2,0000
817	2,0000
365	2,0000
716	2,0000
978	2,0000
276	2,0000
669	1,5000
912	1,3333
789	1,3333
219	1,0000
821	1,0000
673	1,0000
763	1,0000
990	1,0000
463	1,0000
737	1,0000
741	1,0000
825	1,0000
632	1,0000
743	0,8333
694	0,8333
672	0,6667
539	0,6667
919	0,6000
623	0,6000
733	0,5758
109	0,5000
706	0,5000
886	0,4889
833	0,4286
947	0,4000
745	0,4000
456	0,3333
609	0,3333
643	0,3333
877	0,3333
555	0,3333
760	0,3333
558	0,3333
514	0,3333
939	0,3333
906	0,3333
955	0,3333
534	0,3333
958	0,3333
878	0,3333
855	0,3333
751	0,3333
970	0,3000
753	0,2909
914	0,2794
369	0,2667
175	0,2500
723	0,2500
921	0,2500
613	0,2500
700	0,2333
950	0,2222
616	0,2000
596	0,2000
797	0,2000
600	0,2000
488	0,2000
585	0,1905
841	0,1786
647	0,1786
587	0,1786
663	0,1786
800	0,1667
887	0,1667
392	0,1667
696	0,1667
645	0,1667
517	0,1667
664	0,1667
885	0,1667
618	0,1667
717	0,1667
869	0,1667
980	0,1556
582	0,1538
467	0,1503
535	0,1429
224	0,1389
1001	0,1389
267	0,1333
104	0,1333
1000	0,1333
907	0,1333
802	0,1333
540	0,1333
949	0,1299
510	0,1282
953	0,1282
500	0,1282
471	0,1273
431	0,1273
719	0,1212
523	0,1154
679	0,1111
144	0,1111
816	0,1111
414	0,1091
112	0,1071
565	0,1071
714	0,1071
352	0,1053
813	0,1051
542	0,1046
577	0,1026
71	0,0989
602	0,0956
598	0,0952
530	0,0952
649	0,0952
589	0,0952
536	0,0909
710	0,0909
840	0,0909
297	0,0897
331	0,0895
220	0,0889
435	0,0879
374	0,0784
651	0,0769
621	0,0769
851	0,0762
803	0,0762
551	0,0750
579	0,0750
52	0,0725
642	0,0714
410	0,0714
556	0,0714
43	0,0714
428	0,0672
248	0,0667
924	0,0667
979	0,0667
313	0,0667
806	0,0667
913	0,0659
516	0,0659
22	0,0659
406	0,0654
490	0,0652
299	0,0643
597	0,0606
70	0,0606
667	0,0606
302	0,0588
388	0,0588
217	0,0585
570	0,0583
519	0,0583
826	0,0579
334	0,0571
76	0,0571
9	0,0568
957	0,0556
554	0,0556
720	0,0553
324	0,0545
678	0,0545
562	0,0541
502	0,0523
350	0,0523
294	0,0523
822	0,0515
360	0,0515
77	0,0515
401	0,0500
933	0,0500
777	0,0500
544	0,0500
39	0,0500
529	0,0484
956	0,0476
279	0,0476
246	0,0476
619	0,0476
686	0,0476
786	0,0476
652	0,0476
952	0,0476
312	0,0474
563	0,0474
292	0,0471
927	0,0455
49	0,0444
442	0,0444
247	0,0444
681	0,0441
484	0,0441
332	0,0435
322	0,0435
508	0,0435
190	0,0431
171	0,0423
235	0,0421
421	0,0417
470	0,0409
413	0,0400
707	0,0399
195	0,0398
847	0,0392
349	0,0392
192	0,0392
347	0,0385
601	0,0385
307	0,0368
547	0,0368
225	0,0368
525	0,0368
156	0,0368
391	0,0364
528	0,0364
497	0,0364
511	0,0364
354	0,0357
274	0,0357
559	0,0357
399	0,0357
608	0,0356
666	0,0351
754	0,0351
462	0,0351
665	0,0346
828	0,0346
545	0,0330
588	0,0330
291	0,0326
