Vertice	Grau
160	334,00
82	227,00
121	222,00
107	204,00
86	202,00
62	190,00
13	172,00
249	160,00
183	159,00
434	157,00
5	156,00
211	145,00
129	136,00
377	131,00
84	130,00
21	129,00
114	127,00
87	125,00
333	125,00
166	125,00
533	123,00
820	120,00
142	120,00
83	119,00
105	119,00
283	118,00
282	117,00
58	115,00
63	114,00
424	113,00
252	113,00
64	113,00
115	112,00
405	110,00
128	110,00
6	109,00
212	108,00
96	107,00
420	106,00
17	106,00
169	105,00
106	102,00
165	101,00
411	95,00
280	95,00
494	95,00
971	94,00
133	93,00
419	91,00
473	91,00
4	89,00
81	89,00
932	88,00
301	87,00
303	87,00
65	84,00
2	84,00
498	84,00
409	84,00
254	83,00
44	83,00
74	82,00
170	82,00
209	79,00
438	79,00
232	79,00
366	79,00
28	78,00
295	78,00
329	77,00
404	77,00
546	76,00
285	76,00
549	76,00
93	76,00
393	75,00
41	74,00
172	74,00
14	73,00
215	73,00
11	72,00
113	72,00
340	72,00
300	70,00
157	70,00
180	70,00
116	69,00
493	69,00
450	68,00
7	67,00
495	67,00
137	67,00
173	67,00
42	67,00
141	67,00
342	66,00
859	66,00
290	66,00
474	65,00
367	65,00
167	65,00
371	64,00
440	64,00
269	64,00
412	64,00
210	64,00
23	64,00
155	63,00
61	63,00
168	61,00
145	61,00
184	61,00
57	60,00
69	60,00
174	59,00
271	59,00
486	59,00
231	58,00
80	58,00
132	58,00
19	58,00
375	58,00
281	57,00
30	57,00
3	56,00
263	56,00
856	56,00
191	56,00
417	55,00
812	55,00
206	55,00
20	54,00
305	54,00
218	54,00
233	54,00
181	54,00
89	53,00
321	53,00
455	53,00
40	53,00
60	52,00
408	52,00
426	52,00
256	52,00
379	52,00
258	51,00
560	51,00
506	51,00
201	51,00
48	51,00
615	50,00
131	50,00
12	50,00
187	49,00
339	49,00
362	49,00
46	49,00
51	48,00
358	48,00
351	48,00
338	48,00
152	48,00
520	48,00
54	48,00
427	47,00
223	47,00
314	47,00
16	47,00
226	47,00
222	47,00
153	46,00
255	46,00
318	46,00
29	46,00
443	45,00
147	45,00
213	45,00
526	45,00
27	45,00
199	45,00
685	45,00
466	44,00
59	44,00
363	44,00
430	44,00
177	44,00
390	44,00
182	44,00
376	44,00
35	44,00
355	43,00
221	43,00
31	43,00
234	43,00
537	43,00
809	43,00
459	42,00
162	42,00
163	42,00
243	42,00
18	42,00
320	42,00
56	41,00
143	41,00
309	41,00
164	41,00
0	41,00
499	41,00
401	41,00
38	41,00
357	40,00
509	40,00
482	40,00
278	40,00
963	40,00
481	40,00
518	40,00
68	40,00
306	40,00
158	40,00
95	40,00
284	40,00
238	39,00
373	39,00
179	39,00
92	39,00
458	39,00
45	38,00
100	38,00
189	38,00
452	38,00
272	38,00
422	38,00
353	37,00
387	37,00
245	37,00
47	37,00
15	37,00
24	37,00
108	37,00
460	36,00
448	36,00
265	36,00
55	36,00
661	36,00
423	36,00
154	36,00
214	36,00
264	35,00
198	35,00
124	35,00
79	35,00
286	35,00
478	35,00
513	35,00
464	35,00
236	35,00
253	35,00
747	35,00
480	34,00
194	34,00
10	34,00
368	34,00
569	34,00
188	34,00
370	34,00
94	34,00
9	33,00
564	33,00
504	33,00
195	33,00
251	33,00
531	33,00
103	33,00
159	33,00
425	32,00
288	32,00
483	32,00
37	32,00
380	32,00
361	32,00
543	32,00
437	32,00
359	32,00
489	32,00
323	32,00
275	32,00
592	31,00
53	31,00
140	31,00
400	31,00
176	31,00
261	31,00
151	31,00
356	30,00
337	30,00
441	30,00
139	30,00
389	30,00
138	30,00
525	30,00
268	30,00
429	30,00
394	29,00
91	29,00
123	29,00
178	29,00
397	29,00
266	29,00
118	29,00
73	29,00
548	29,00
196	28,00
896	28,00
8	28,00
85	28,00
327	28,00
171	28,00
845	28,00
229	27,00
612	27,00
381	27,00
515	27,00
562	27,00
395	27,00
146	27,00
529	27,00
444	26,00
447	26,00
66	26,00
190	26,00
453	26,00
34	26,00
581	26,00
698	26,00
237	26,00
748	26,00
738	26,00
552	26,00
149	26,00
161	26,00
917	26,00
593	25,00
273	25,00
976	25,00
259	25,00
981	25,00
413	25,00
695	25,00
126	25,00
316	24,00
322	24,00
707	24,00
291	24,00
490	24,00
461	24,00
216	24,00
292	24,00
936	24,00
52	24,00
97	24,00
193	24,00
813	24,00
756	24,00
308	24,00
346	24,00
250	24,00
125	24,00
197	24,00
492	24,00
372	23,00
655	23,00
720	23,00
150	23,00
638	23,00
428	23,00
242	23,00
135	23,00
918	23,00
32	23,00
26	23,00
832	23,00
860	23,00
908	23,00
608	23,00
310	23,00
311	23,00
326	23,00
332	23,00
262	23,00
607	23,00
568	23,00
508	23,00
828	22,00
949	22,00
336	22,00
90	22,00
122	22,00
185	22,00
200	22,00
665	22,00
304	22,00
296	21,00
589	21,00
134	21,00
880	21,00
101	21,00
102	21,00
457	21,00
445	20,00
418	20,00
307	20,00
127	20,00
312	20,00
823	20,00
547	20,00
563	20,00
204	20,00
225	20,00
186	20,00
244	20,00
235	20,00
88	20,00
36	20,00
485	20,00
345	20,00
826	20,00
331	20,00
335	20,00
217	19,00
33	19,00
754	19,00
99	19,00
446	19,00
776	19,00
922	19,00
491	19,00
299	19,00
352	19,00
462	19,00
230	19,00
470	19,00
433	19,00
666	19,00
674	19,00
496	18,00
467	18,00
502	18,00
815	18,00
690	18,00
847	18,00
542	18,00
374	18,00
350	18,00
349	18,00
25	18,00
406	18,00
388	18,00
75	18,00
260	18,00
192	18,00
317	18,00
302	18,00
294	18,00
611	17,00
360	17,00
602	17,00
822	17,00
148	17,00
484	17,00
136	17,00
98	17,00
293	17,00
914	17,00
541	17,00
287	17,00
77	17,00
892	17,00
573	17,00
156	17,00
681	17,00
240	17,00
241	17,00
933	16,00
579	16,00
570	16,00
519	16,00
248	16,00
421	16,00
39	16,00
610	16,00
104	16,00
551	16,00
641	16,00
544	16,00
777	16,00
726	16,00
344	16,00
277	16,00
700	16,00
810	16,00
590	15,00
925	15,00
76	15,00
328	15,00
557	15,00
334	15,00
343	15,00
572	15,00
385	15,00
851	15,00
246	15,00
803	15,00
207	14,00
205	14,00
325	14,00
120	14,00
900	14,00
566	14,00
71	14,00
298	14,00
913	14,00
545	14,00
435	14,00
550	14,00
465	14,00
588	14,00
931	14,00
257	14,00
582	14,00
516	14,00
407	14,00
621	14,00
662	14,00
22	14,00
699	13,00
730	13,00
599	13,00
651	13,00
601	13,00
297	13,00
117	13,00
644	13,00
577	13,00
627	13,00
930	13,00
500	13,00
953	13,00
